p_id;rhythm;modality;variant;code;midi_file
1;1;1;4;aaab;01_aaab.mid
1;1;2;4;aaab;01_aaab.mid
1;1;4;1;aaba;01_aaba.mid
1;1;3;2;abaa;01_abaa.mid
1;1;5;3;baaa;01_baaa.mid
1;2;4;1;bbaa;02_bbaa.mid
1;2;2;4;abba;02_abba.mid
1;2;1;2;baab;02_baab.mid
1;2;3;2;baab;02_baab.mid
1;2;5;3;aabb;02_aabb.mid
1;3;1;4;abca;03_abca.mid
1;3;3;1;bcaa;03_bcaa.mid
1;3;4;4;abca;03_abca.mid
1;3;5;3;aabc;03_aabc.mid
1;3;2;2;caab;03_caab.mid
1;4;4;2;aabaa;04_aabaa.mid
1;4;3;4;baaaa;04_baaaa.mid
1;4;1;3;abaaa;04_abaaa.mid
1;4;5;3;abaaa;04_abaaa.mid
1;4;2;1;aaaab;04_aaaab.mid
1;5;3;4;NA;05_NA.mid
1;5;1;1;aaaa;05_aaaa.mid
1;5;2;4;NA;05_NA.mid
1;5;5;3;NA;05_NA.mid
1;5;4;2;NA;05_NA.mid
1;6;5;3;baac;06_baac.mid
1;6;1;1;acba;06_acba.mid
1;6;4;4;aacb;06_aacb.mid
1;6;3;2;cbaa;06_cbaa.mid
1;6;2;4;aacb;06_aacb.mid
1;7;5;3;aadd;07_aadd.mid
1;7;2;3;aadd;07_aadd.mid
1;7;4;1;ddaa;07_ddaa.mid
1;7;1;2;daad;07_daad.mid
1;7;3;4;adda;07_adda.mid
1;8;2;1;aeaa;08_aeaa.mid
1;8;3;4;aaea;08_aaea.mid
1;8;4;4;aaea;08_aaea.mid
1;8;5;3;aaae;08_aaae.mid
1;8;1;2;eaaa;08_eaaa.mid
1;9;5;4;NA;09_NA.mid
1;9;2;1;bbbb;09_bbbb.mid
1;9;1;2;NA;09_NA.mid
1;9;4;3;NA;09_NA.mid
1;9;3;4;NA;09_NA.mid
1;10;2;3;badb;10_badb.mid
1;10;5;4;adbb;10_adbb.mid
1;10;1;2;bbad;10_bbad.mid
1;10;3;1;dbba;10_dbba.mid
1;10;4;4;adbb;10_adbb.mid
2;1;4;3;baaa;01_baaa.mid
2;1;3;4;aaab;01_aaab.mid
2;1;5;2;abaa;01_abaa.mid
2;1;1;1;aaba;01_aaba.mid
2;1;2;1;aaba;01_aaba.mid
2;2;2;2;baab;02_baab.mid
2;2;3;1;bbaa;02_bbaa.mid
2;2;1;1;bbaa;02_bbaa.mid
2;2;5;4;abba;02_abba.mid
2;2;4;3;aabb;02_aabb.mid
