p_id;rhythm;modality;variant;code;midi_file
2;3;5;1;bcaa;03_bcaa.mid
2;3;2;3;aabc;03_aabc.mid
2;3;1;2;caab;03_caab.mid
2;3;4;2;caab;03_caab.mid
2;3;3;4;abca;03_abca.mid
2;4;3;2;aabaa;04_aabaa.mid
2;4;5;3;abaaa;04_abaaa.mid
2;4;1;3;abaaa;04_abaaa.mid
2;4;2;1;aaaab;04_aaaab.mid
2;4;4;4;baaaa;04_baaaa.mid
2;5;1;3;NA;05_NA.mid
2;5;2;4;NA;05_NA.mid
2;5;5;2;NA;05_NA.mid
2;5;4;1;aaaa;05_aaaa.mid
2;5;3;4;NA;05_NA.mid
2;6;2;1;acba;06_acba.mid
2;6;1;4;aacb;06_aacb.mid
2;6;5;2;cbaa;06_cbaa.mid
2;6;3;3;baac;06_baac.mid
2;6;4;1;acba;06_acba.mid
2;7;3;1;ddaa;07_ddaa.mid
2;7;1;3;aadd;07_aadd.mid
2;7;2;4;adda;07_adda.mid
2;7;5;4;adda;07_adda.mid
2;7;4;2;daad;07_daad.mid
2;8;2;1;aeaa;08_aeaa.mid
2;8;5;4;aaea;08_aaea.mid
2;8;3;3;aaae;08_aaae.mid
2;8;1;2;eaaa;08_eaaa.mid
2;8;4;3;aaae;08_aaae.mid
2;9;3;3;NA;09_NA.mid
2;9;4;2;NA;09_NA.mid
2;9;1;1;bbbb;09_bbbb.mid
2;9;2;4;NA;09_NA.mid
2;9;5;3;NA;09_NA.mid
2;10;4;1;dbba;10_dbba.mid
2;10;5;1;dbba;10_dbba.mid
2;10;1;3;badb;10_badb.mid
2;10;3;4;adbb;10_adbb.mid
2;10;2;2;bbad;10_bbad.mid
3;1;5;2;abaa;01_abaa.mid
3;1;1;4;aaab;01_aaab.mid
3;1;2;4;aaab;01_aaab.mid
3;1;3;3;baaa;01_baaa.mid
3;1;4;1;aaba;01_aaba.mid
3;2;2;3;aabb;02_aabb.mid
3;2;5;4;abba;02_abba.mid
3;2;4;1;bbaa;02_bbaa.mid
3;2;1;2;baab;02_baab.mid
3;2;3;2;baab;02_baab.mid
3;3;3;2;caab;03_caab.mid
3;3;1;1;bcaa;03_bcaa.mid
3;3;5;4;abca;03_abca.mid
3;3;2;3;aabc;03_aabc.mid
3;3;4;1;bcaa;03_bcaa.mid
3;4;2;2;aabaa;04_aabaa.mid
3;4;3;4;baaaa;04_baaaa.mid
3;4;4;3;abaaa;04_abaaa.mid
3;4;1;1;aaaab;04_aaaab.mid
3;4;5;1;aaaab;04_aaaab.mid
3;5;1;1;aaaa;05_aaaa.mid
3;5;4;3;NA;05_NA.mid
3;5;3;4;NA;05_NA.mid
3;5;2;4;NA;05_NA.mid
3;5;5;2;NA;05_NA.mid
3;6;3;1;acba;06_acba.mid
3;6;1;3;baac;06_baac.mid
3;6;5;4;aacb;06_aacb.mid
3;6;2;2;cbaa;06_cbaa.mid
3;6;4;2;cbaa;06_cbaa.mid
3;7;3;3;aadd;07_aadd.mid
3;7;5;4;adda;07_adda.mid
3;7;4;1;ddaa;07_ddaa.mid
3;7;1;2;daad;07_daad.mid
3;7;2;4;adda;07_adda.mid
3;8;4;4;aaea;08_aaea.mid
3;8;2;2;eaaa;08_eaaa.mid
3;8;3;4;aaea;08_aaea.mid
3;8;5;1;aeaa;08_aeaa.mid
3;8;1;3;aaae;08_aaae.mid
3;9;5;3;NA;09_NA.mid
3;9;2;2;NA;09_NA.mid
3;9;1;1;bbbb;09_bbbb.mid
3;9;4;4;NA;09_NA.mid
3;9;3;3;NA;09_NA.mid
3;10;5;1;dbba;10_dbba.mid
3;10;1;3;badb;10_badb.mid
3;10;2;2;bbad;10_bbad.mid
3;10;4;1;dbba;10_dbba.mid
3;10;3;4;adbb;10_adbb.mid
4;1;3;4;aaab;01_aaab.mid
4;1;5;2;abaa;01_abaa.mid
4;1;2;3;baaa;01_baaa.mid
4;1;4;1;aaba;01_aaba.mid
4;1;1;3;baaa;01_baaa.mid
4;2;4;2;baab;02_baab.mid
4;2;1;3;aabb;02_aabb.mid
4;2;5;4;abba;02_abba.mid
4;2;3;3;aabb;02_aabb.mid
4;2;2;1;bbaa;02_bbaa.mid
4;3;4;4;abca;03_abca.mid
4;3;3;1;bcaa;03_bcaa.mid
4;3;1;4;abca;03_abca.mid
4;3;2;3;aabc;03_aabc.mid
4;3;5;2;caab;03_caab.mid
4;4;4;1;aaaab;04_aaaab.mid
4;4;2;4;baaaa;04_baaaa.mid
4;4;5;3;abaaa;04_abaaa.mid
4;4;3;2;aabaa;04_aabaa.mid
4;4;1;3;abaaa;04_abaaa.mid
4;5;2;4;NA;05_NA.mid
4;5;4;2;NA;05_NA.mid
4;5;1;3;NA;05_NA.mid
4;5;5;1;aaaa;05_aaaa.mid
4;5;3;4;NA;05_NA.mid
4;6;4;3;baac;06_baac.mid
4;6;2;3;baac;06_baac.mid
4;6;5;2;cbaa;06_cbaa.mid
4;6;1;1;acba;06_acba.mid
4;6;3;4;aacb;06_aacb.mid
4;7;2;3;aadd;07_aadd.mid
4;7;3;4;adda;07_adda.mid
4;7;5;3;aadd;07_aadd.mid
4;7;4;1;ddaa;07_ddaa.mid
4;7;1;2;daad;07_daad.mid
4;8;1;2;eaaa;08_eaaa.mid
4;8;5;3;aaae;08_aaae.mid
4;8;3;1;aeaa;08_aeaa.mid
4;8;2;4;aaea;08_aaea.mid
4;8;4;1;aeaa;08_aeaa.mid
4;9;5;1;bbbb;09_bbbb.mid
4;9;3;1;bbbb;09_bbbb.mid
4;9;4;4;NA;09_NA.mid
4;9;1;3;NA;09_NA.mid
4;9;2;2;NA;09_NA.mid
4;10;4;3;badb;10_badb.mid
4;10;2;1;dbba;10_dbba.mid
4;10;1;2;bbad;10_bbad.mid
4;10;3;4;adbb;10_adbb.mid
4;10;5;3;badb;10_badb.mid
5;1;3;1;aaba;01_aaba.mid
5;1;5;2;abaa;01_abaa.mid
5;1;2;4;aaab;01_aaab.mid
5;1;4;3;baaa;01_baaa.mid
5;1;1;4;aaab;01_aaab.mid
5;2;5;4;abba;02_abba.mid
5;2;1;2;baab;02_baab.mid
5;2;2;1;bbaa;02_bbaa.mid
5;2;4;3;aabb;02_aabb.mid
5;2;3;2;baab;02_baab.mid
5;3;1;3;aabc;03_aabc.mid
5;3;5;2;caab;03_caab.mid
5;3;2;4;abca;03_abca.mid
5;3;3;1;bcaa;03_bcaa.mid
5;3;4;3;aabc;03_aabc.mid
5;4;5;1;aaaab;04_aaaab.mid
5;4;4;4;baaaa;04_baaaa.mid
5;4;3;2;aabaa;04_aabaa.mid
5;4;1;1;aaaab;04_aaaab.mid
5;4;2;3;abaaa;04_abaaa.mid
5;5;2;2;NA;05_NA.mid
5;5;1;1;aaaa;05_aaaa.mid
5;5;5;4;NA;05_NA.mid
5;5;3;2;NA;05_NA.mid
5;5;4;3;NA;05_NA.mid
5;6;3;4;aacb;06_aacb.mid
5;6;1;1;acba;06_acba.mid
5;6;4;2;cbaa;06_cbaa.mid
5;6;2;2;cbaa;06_cbaa.mid
5;6;5;3;baac;06_baac.mid
5;7;4;2;daad;07_daad.mid
5;7;5;3;aadd;07_aadd.mid
5;7;3;4;adda;07_adda.mid
5;7;2;3;aadd;07_aadd.mid
5;7;1;1;ddaa;07_ddaa.mid
5;8;3;2;eaaa;08_eaaa.mid
5;8;5;3;aaae;08_aaae.mid
5;8;1;1;aeaa;08_aeaa.mid
5;8;2;4;aaea;08_aaea.mid
5;8;4;2;eaaa;08_eaaa.mid
5;9;5;4;NA;09_NA.mid
5;9;1;1;bbbb;09_bbbb.mid
5;9;3;4;NA;09_NA.mid
5;9;4;3;NA;09_NA.mid
5;9;2;2;NA;09_NA.mid
5;10;4;2;bbad;10_bbad.mid
5;10;2;3;badb;10_badb.mid
5;10;1;1;dbba;10_dbba.mid
5;10;3;4;adbb;10_adbb.mid
5;10;5;2;bbad;10_bbad.mid
6;1;3;2;abaa;01_abaa.mid
6;1;5;3;baaa;01_baaa.mid
6;1;2;1;aaba;01_aaba.mid
6;1;1;1;aaba;01_aaba.mid
6;1;4;4;aaab;01_aaab.mid
6;2;3;4;abba;02_abba.mid
6;2;1;4;abba;02_abba.mid
6;2;4;1;bbaa;02_bbaa.mid
6;2;2;2;baab;02_baab.mid
6;2;5;3;aabb;02_aabb.mid
6;3;3;1;bcaa;03_bcaa.mid
6;3;1;4;abca;03_abca.mid
6;3;4;4;abca;03_abca.mid
6;3;5;3;aabc;03_aabc.mid
6;3;2;2;caab;03_caab.mid
6;4;5;2;aabaa;04_aabaa.mid
6;4;3;3;abaaa;04_abaaa.mid
6;4;1;2;aabaa;04_aabaa.mid
6;4;4;1;aaaab;04_aaaab.mid
6;4;2;4;baaaa;04_baaaa.mid
6;5;1;3;NA;05_NA.mid
6;5;5;4;NA;05_NA.mid
6;5;2;2;NA;05_NA.mid
6;5;4;1;aaaa;05_aaaa.mid
6;5;3;2;NA;05_NA.mid
6;6;5;3;baac;06_baac.mid
6;6;4;1;acba;06_acba.mid
6;6;2;1;acba;06_acba.mid
6;6;3;2;cbaa;06_cbaa.mid
6;6;1;4;aacb;06_aacb.mid
6;7;2;2;daad;07_daad.mid
6;7;1;1;ddaa;07_ddaa.mid
6;7;5;2;daad;07_daad.mid
6;7;4;3;aadd;07_aadd.mid
6;7;3;4;adda;07_adda.mid
6;8;5;4;aaea;08_aaea.mid
6;8;1;1;aeaa;08_aeaa.mid
6;8;3;3;aaae;08_aaae.mid
6;8;2;2;eaaa;08_eaaa.mid
6;8;4;3;aaae;08_aaae.mid
6;9;4;2;NA;09_NA.mid
6;9;1;4;NA;09_NA.mid
6;9;3;3;NA;09_NA.mid
6;9;2;1;bbbb;09_bbbb.mid
6;9;5;3;NA;09_NA.mid
6;10;5;3;badb;10_badb.mid
6;10;4;3;badb;10_badb.mid
6;10;2;1;dbba;10_dbba.mid
6;10;1;2;bbad;10_bbad.mid
6;10;3;4;adbb;10_adbb.mid
7;1;4;1;aaba;01_aaba.mid
7;1;5;4;aaab;01_aaab.mid
7;1;2;3;baaa;01_baaa.mid
7;1;3;2;abaa;01_abaa.mid
7;1;1;3;baaa;01_baaa.mid
7;2;2;3;aabb;02_aabb.mid
7;2;3;2;baab;02_baab.mid
7;2;1;2;baab;02_baab.mid
7;2;5;4;abba;02_abba.mid
7;2;4;1;bbaa;02_bbaa.mid
7;3;4;1;bcaa;03_bcaa.mid
7;3;5;4;abca;03_abca.mid
7;3;3;3;aabc;03_aabc.mid
7;3;1;1;bcaa;03_bcaa.mid
7;3;2;2;caab;03_caab.mid
7;4;1;1;aaaab;04_aaaab.mid
7;4;4;2;aabaa;04_aabaa.mid
7;4;2;3;abaaa;04_abaaa.mid
7;4;5;1;aaaab;04_aaaab.mid
7;4;3;4;baaaa;04_baaaa.mid
7;5;4;4;NA;05_NA.mid
7;5;2;2;NA;05_NA.mid
7;5;5;1;aaaa;05_aaaa.mid
7;5;3;2;NA;05_NA.mid
7;5;1;3;NA;05_NA.mid
7;6;3;1;acba;06_acba.mid
7;6;4;3;baac;06_baac.mid
7;6;1;2;cbaa;06_cbaa.mid
7;6;5;4;aacb;06_aacb.mid
7;6;2;3;baac;06_baac.mid
7;7;2;2;daad;07_daad.mid
7;7;4;4;adda;07_adda.mid
7;7;5;2;daad;07_daad.mid
7;7;1;1;ddaa;07_ddaa.mid
7;7;3;3;aadd;07_aadd.mid
7;8;4;3;aaae;08_aaae.mid
7;8;3;3;aaae;08_aaae.mid
7;8;5;1;aeaa;08_aeaa.mid
7;8;2;4;aaea;08_aaea.mid
7;8;1;2;eaaa;08_eaaa.mid
7;9;3;4;NA;09_NA.mid
7;9;4;2;NA;09_NA.mid
7;9;1;1;bbbb;09_bbbb.mid
7;9;2;3;NA;09_NA.mid
7;9;5;4;NA;09_NA.mid
7;10;2;3;badb;10_badb.mid
7;10;3;2;bbad;10_bbad.mid
7;10;4;4;adbb;10_adbb.mid
7;10;1;1;dbba;10_dbba.mid
7;10;5;4;adbb;10_adbb.mid
8;1;4;4;aaab;01_aaab.mid
8;1;3;3;baaa;01_baaa.mid
8;1;2;2;abaa;01_abaa.mid
8;1;5;1;aaba;01_aaba.mid
8;1;1;2;abaa;01_abaa.mid
8;2;4;4;abba;02_abba.mid
8;2;3;2;baab;02_baab.mid
8;2;2;3;aabb;02_aabb.mid
8;2;1;2;baab;02_baab.mid
8;2;5;1;bbaa;02_bbaa.mid
8;3;5;1;bcaa;03_bcaa.mid
8;3;4;4;abca;03_abca.mid
8;3;2;3;aabc;03_aabc.mid
8;3;1;4;abca;03_abca.mid
8;3;3;2;caab;03_caab.mid
8;4;5;3;abaaa;04_abaaa.mid
8;4;2;2;aabaa;04_aabaa.mid
8;4;3;1;aaaab;04_aaaab.mid
8;4;4;4;baaaa;04_baaaa.mid
8;4;1;3;abaaa;04_abaaa.mid
8;5;5;2;NA;05_NA.mid
8;5;1;1;aaaa;05_aaaa.mid
8;5;2;4;NA;05_NA.mid
8;5;4;3;NA;05_NA.mid
8;5;3;4;NA;05_NA.mid
8;6;1;3;baac;06_baac.mid
8;6;5;2;cbaa;06_cbaa.mid
8;6;4;4;aacb;06_aacb.mid
8;6;2;4;aacb;06_aacb.mid
8;6;3;1;acba;06_acba.mid
8;7;4;3;aadd;07_aadd.mid
8;7;3;1;ddaa;07_ddaa.mid
8;7;5;4;adda;07_adda.mid
8;7;2;4;adda;07_adda.mid
8;7;1;2;daad;07_daad.mid
8;8;5;2;eaaa;08_eaaa.mid
8;8;2;1;aeaa;08_aeaa.mid
8;8;4;3;aaae;08_aaae.mid
8;8;1;4;aaea;08_aaea.mid
8;8;3;3;aaae;08_aaae.mid
8;9;2;1;bbbb;09_bbbb.mid
8;9;1;3;NA;09_NA.mid
8;9;3;4;NA;09_NA.mid
8;9;5;4;NA;09_NA.mid
8;9;4;2;NA;09_NA.mid
8;10;3;1;dbba;10_dbba.mid
8;10;4;4;adbb;10_adbb.mid
8;10;1;3;badb;10_badb.mid
8;10;2;2;bbad;10_bbad.mid
8;10;5;4;adbb;10_adbb.mid
9;1;5;3;baaa;01_baaa.mid
9;1;4;1;aaba;01_aaba.mid
9;1;2;2;abaa;01_abaa.mid
9;1;3;4;aaab;01_aaab.mid
9;1;1;2;abaa;01_abaa.mid
9;2;1;1;bbaa;02_bbaa.mid
9;2;3;1;bbaa;02_bbaa.mid
9;2;5;3;aabb;02_aabb.mid
9;2;2;2;baab;02_baab.mid
9;2;4;4;abba;02_abba.mid
9;3;3;4;abca;03_abca.mid
9;3;5;2;caab;03_caab.mid
9;3;2;1;bcaa;03_bcaa.mid
9;3;4;3;aabc;03_aabc.mid
9;3;1;3;aabc;03_aabc.mid
9;4;2;4;baaaa;04_baaaa.mid
9;4;5;1;aaaab;04_aaaab.mid
9;4;4;2;aabaa;04_aabaa.mid
9;4;1;1;aaaab;04_aaaab.mid
9;4;3;3;abaaa;04_abaaa.mid
9;5;1;4;NA;05_NA.mid
9;5;4;2;NA;05_NA.mid
9;5;2;1;aaaa;05_aaaa.mid
9;5;5;3;NA;05_NA.mid
9;5;3;1;aaaa;05_aaaa.mid
9;6;2;3;baac;06_baac.mid
9;6;5;1;acba;06_acba.mid
9;6;3;4;aacb;06_aacb.mid
9;6;1;2;cbaa;06_cbaa.mid
9;6;4;3;baac;06_baac.mid
9;7;4;2;daad;07_daad.mid
9;7;3;4;adda;07_adda.mid
9;7;5;3;aadd;07_aadd.mid
9;7;2;3;aadd;07_aadd.mid
9;7;1;1;ddaa;07_ddaa.mid
9;8;3;2;eaaa;08_eaaa.mid
9;8;2;3;aaae;08_aaae.mid
9;8;5;1;aeaa;08_aeaa.mid
9;8;4;2;eaaa;08_eaaa.mid
9;8;1;4;aaea;08_aaea.mid
9;9;4;1;bbbb;09_bbbb.mid
9;9;3;2;NA;09_NA.mid
9;9;1;4;NA;09_NA.mid
9;9;5;2;NA;09_NA.mid
9;9;2;3;NA;09_NA.mid
9;10;1;4;adbb;10_adbb.mid
9;10;5;1;dbba;10_dbba.mid
9;10;3;2;bbad;10_bbad.mid
9;10;2;3;badb;10_badb.mid
9;10;4;1;dbba;10_dbba.mid
10;1;2;4;aaab;01_aaab.mid
10;1;5;2;abaa;01_abaa.mid
10;1;4;1;aaba;01_aaba.mid
10;1;1;4;aaab;01_aaab.mid
10;1;3;3;baaa;01_baaa.mid
10;2;2;3;aabb;02_aabb.mid
10;2;4;4;abba;02_abba.mid
10;2;5;1;bbaa;02_bbaa.mid
10;2;1;2;baab;02_baab.mid
10;2;3;2;baab;02_baab.mid
10;3;5;2;caab;03_caab.mid
10;3;3;3;aabc;03_aabc.mid
10;3;2;4;abca;03_abca.mid
10;3;1;1;bcaa;03_bcaa.mid
10;3;4;1;bcaa;03_bcaa.mid
10;4;5;1;aaaab;04_aaaab.mid
10;4;2;3;abaaa;04_abaaa.mid
10;4;1;1;aaaab;04_aaaab.mid
10;4;4;2;aabaa;04_aabaa.mid
10;4;3;4;baaaa;04_baaaa.mid
10;5;5;4;NA;05_NA.mid
10;5;2;3;NA;05_NA.mid
10;5;3;3;NA;05_NA.mid
10;5;1;1;aaaa;05_aaaa.mid
10;5;4;2;NA;05_NA.mid
10;6;5;3;baac;06_baac.mid
10;6;3;2;cbaa;06_cbaa.mid
10;6;2;4;aacb;06_aacb.mid
10;6;1;1;acba;06_acba.mid
10;6;4;4;aacb;06_aacb.mid
10;7;4;1;ddaa;07_ddaa.mid
10;7;2;2;daad;07_daad.mid
10;7;3;3;aadd;07_aadd.mid
10;7;5;2;daad;07_daad.mid
10;7;1;4;adda;07_adda.mid
10;8;5;4;aaea;08_aaea.mid
10;8;4;1;aeaa;08_aeaa.mid
10;8;1;3;aaae;08_aaae.mid
10;8;3;1;aeaa;08_aeaa.mid
10;8;2;2;eaaa;08_eaaa.mid
10;9;1;3;NA;09_NA.mid
10;9;2;4;NA;09_NA.mid
10;9;4;2;NA;09_NA.mid
10;9;5;1;bbbb;09_bbbb.mid
10;9;3;1;bbbb;09_bbbb.mid
10;10;4;1;dbba;10_dbba.mid
10;10;5;1;dbba;10_dbba.mid
10;10;3;4;adbb;10_adbb.mid
10;10;1;3;badb;10_badb.mid
10;10;2;2;bbad;10_bbad.mid
11;1;5;4;aaab;01_aaab.mid
11;1;1;1;aaba;01_aaba.mid
11;1;2;1;aaba;01_aaba.mid
11;1;4;3;baaa;01_baaa.mid
11;1;3;2;abaa;01_abaa.mid
11;2;1;4;abba;02_abba.mid
11;2;3;4;abba;02_abba.mid
11;2;5;3;aabb;02_aabb.mid
11;2;2;1;bbaa;02_bbaa.mid
11;2;4;2;baab;02_baab.mid
11;3;2;4;abca;03_abca.mid
11;3;4;3;aabc;03_aabc.mid
11;3;3;2;caab;03_caab.mid
11;3;5;1;bcaa;03_bcaa.mid
11;3;1;3;aabc;03_aabc.mid
11;4;4;1;aaaab;04_aaaab.mid
11;4;5;2;aabaa;04_aabaa.mid
11;4;2;4;baaaa;04_baaaa.mid
11;4;1;2;aabaa;04_aabaa.mid
11;4;3;3;abaaa;04_abaaa.mid
11;5;4;3;NA;05_NA.mid
11;5;3;2;NA;05_NA.mid
11;5;2;2;NA;05_NA.mid
11;5;5;4;NA;05_NA.mid
11;5;1;1;aaaa;05_aaaa.mid
11;6;3;3;baac;06_baac.mid
11;6;2;2;cbaa;06_cbaa.mid
11;6;4;2;cbaa;06_cbaa.mid
11;6;5;4;aacb;06_aacb.mid
11;6;1;1;acba;06_acba.mid
11;7;2;1;ddaa;07_ddaa.mid
11;7;3;3;aadd;07_aadd.mid
11;7;1;2;daad;07_daad.mid
11;7;4;4;adda;07_adda.mid
11;7;5;1;ddaa;07_ddaa.mid
11;8;3;2;eaaa;08_eaaa.mid
11;8;5;3;aaae;08_aaae.mid
11;8;1;4;aaea;08_aaea.mid
11;8;4;2;eaaa;08_eaaa.mid
11;8;2;1;aeaa;08_aeaa.mid
11;9;2;1;bbbb;09_bbbb.mid
11;9;1;4;NA;09_NA.mid
11;9;3;3;NA;09_NA.mid
11;9;4;2;NA;09_NA.mid
11;9;5;3;NA;09_NA.mid
11;10;5;2;bbad;10_bbad.mid
11;10;3;4;adbb;10_adbb.mid
11;10;4;2;bbad;10_bbad.mid
11;10;1;3;badb;10_badb.mid
11;10;2;1;dbba;10_dbba.mid
12;1;3;3;baaa;01_baaa.mid
12;1;4;2;abaa;01_abaa.mid
12;1;2;1;aaba;01_aaba.mid
12;1;1;1;aaba;01_aaba.mid
12;1;5;4;aaab;01_aaab.mid
12;2;2;2;baab;02_baab.mid
12;2;5;3;aabb;02_aabb.mid
12;2;3;1;bbaa;02_bbaa.mid
12;2;4;4;abba;02_abba.mid
12;2;1;1;bbaa;02_bbaa.mid
12;3;2;2;caab;03_caab.mid
12;3;1;4;abca;03_abca.mid
12;3;3;1;bcaa;03_bcaa.mid
12;3;4;4;abca;03_abca.mid
12;3;5;3;aabc;03_aabc.mid
12;4;2;1;aaaab;04_aaaab.mid
12;4;1;2;aabaa;04_aabaa.mid
12;4;3;4;baaaa;04_baaaa.mid
12;4;5;2;aabaa;04_aabaa.mid
12;4;4;3;abaaa;04_abaaa.mid
12;5;4;3;NA;05_NA.mid
12;5;5;1;aaaa;05_aaaa.mid
12;5;1;4;NA;05_NA.mid
12;5;3;2;NA;05_NA.mid
12;5;2;2;NA;05_NA.mid
12;6;2;2;cbaa;06_cbaa.mid
12;6;1;3;baac;06_baac.mid
12;6;4;2;cbaa;06_cbaa.mid
12;6;3;1;acba;06_acba.mid
12;6;5;4;aacb;06_aacb.mid
12;7;5;1;ddaa;07_ddaa.mid
12;7;1;4;adda;07_adda.mid
12;7;4;3;aadd;07_aadd.mid
12;7;3;2;daad;07_daad.mid
12;7;2;1;ddaa;07_ddaa.mid
12;8;5;1;aeaa;08_aeaa.mid
12;8;1;2;eaaa;08_eaaa.mid
12;8;3;4;aaea;08_aaea.mid
12;8;2;3;aaae;08_aaae.mid
12;8;4;4;aaea;08_aaea.mid
12;9;5;1;bbbb;09_bbbb.mid
12;9;4;4;NA;09_NA.mid
12;9;1;3;NA;09_NA.mid
12;9;2;2;NA;09_NA.mid
12;9;3;1;bbbb;09_bbbb.mid
12;10;3;4;adbb;10_adbb.mid
12;10;2;1;dbba;10_dbba.mid
12;10;5;2;bbad;10_bbad.mid
12;10;1;3;badb;10_badb.mid
12;10;4;2;bbad;10_bbad.mid
13;1;3;3;baaa;01_baaa.mid
13;1;2;1;aaba;01_aaba.mid
13;1;4;2;abaa;01_abaa.mid
13;1;1;1;aaba;01_aaba.mid
13;1;5;4;aaab;01_aaab.mid
13;2;2;3;aabb;02_aabb.mid
13;2;4;2;baab;02_baab.mid
13;2;1;4;abba;02_abba.mid
13;2;3;4;abba;02_abba.mid
13;2;5;1;bbaa;02_bbaa.mid
13;3;1;3;aabc;03_aabc.mid
13;3;2;1;bcaa;03_bcaa.mid
13;3;5;2;caab;03_caab.mid
13;3;4;3;aabc;03_aabc.mid
13;3;3;4;abca;03_abca.mid
13;4;1;4;baaaa;04_baaaa.mid
13;4;2;2;aabaa;04_aabaa.mid
13;4;3;3;abaaa;04_abaaa.mid
13;4;4;1;aaaab;04_aaaab.mid
13;4;5;4;baaaa;04_baaaa.mid
13;5;3;4;NA;05_NA.mid
13;5;2;4;NA;05_NA.mid
13;5;5;1;aaaa;05_aaaa.mid
13;5;4;3;NA;05_NA.mid
13;5;1;2;NA;05_NA.mid
13;6;4;4;aacb;06_aacb.mid
13;6;3;2;cbaa;06_cbaa.mid
13;6;5;3;baac;06_baac.mid
13;6;1;1;acba;06_acba.mid
13;6;2;4;aacb;06_aacb.mid
13;7;3;3;aadd;07_aadd.mid
13;7;4;4;adda;07_adda.mid
13;7;1;1;ddaa;07_ddaa.mid
13;7;5;2;daad;07_daad.mid
13;7;2;2;daad;07_daad.mid
13;8;2;3;aaae;08_aaae.mid
13;8;4;2;eaaa;08_eaaa.mid
13;8;1;4;aaea;08_aaea.mid
13;8;3;2;eaaa;08_eaaa.mid
13;8;5;1;aeaa;08_aeaa.mid
13;9;3;2;NA;09_NA.mid
13;9;5;2;NA;09_NA.mid
13;9;1;3;NA;09_NA.mid
13;9;2;1;bbbb;09_bbbb.mid
13;9;4;4;NA;09_NA.mid
13;10;4;4;adbb;10_adbb.mid
13;10;3;3;badb;10_badb.mid
13;10;1;2;bbad;10_bbad.mid
13;10;2;1;dbba;10_dbba.mid
13;10;5;4;adbb;10_adbb.mid
14;1;3;2;abaa;01_abaa.mid
14;1;5;1;aaba;01_aaba.mid
14;1;1;3;baaa;01_baaa.mid
14;1;4;4;aaab;01_aaab.mid
14;1;2;3;baaa;01_baaa.mid
14;2;3;3;aabb;02_aabb.mid
14;2;1;3;aabb;02_aabb.mid
14;2;2;4;abba;02_abba.mid
14;2;5;1;bbaa;02_bbaa.mid
14;2;4;2;baab;02_baab.mid
14;3;1;3;aabc;03_aabc.mid
14;3;2;1;bcaa;03_bcaa.mid
14;3;4;3;aabc;03_aabc.mid
14;3;3;4;abca;03_abca.mid
14;3;5;2;caab;03_caab.mid
14;4;1;1;aaaab;04_aaaab.mid
14;4;3;2;aabaa;04_aabaa.mid
14;4;2;3;abaaa;04_abaaa.mid
14;4;4;4;baaaa;04_baaaa.mid
